time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,E_in,E_quad,base_in,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_applied_1,delta_c_applied_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,base_in_increment_candidate,base_in_increment_applied
1.49998,9.96162957989129,9.99660841043743,0.888881342717717,0.0476937785538351,0.000920191644454145,1.22690519502713e-05,0.000931337563767012,0.987852318342304,75.0010390507101,0,1,0,1,0.0068678283424326,0.0225771700879562,0.0068678283424326,0.0225771700879562,0.0068678283424326,0.0225771700879562,4.88287056608856e-07,4.88287056608856e-07,5.27476813959062e-06,5.27476813959062e-06,0,0,-1.69734811871023e-07,-1.69734811871023e-07
1.51998,9.95058286432403,10.0097379434184,0.91529286264223,0.035823432520346,0.000933300474990737,1.03400405930106e-05,0.000931366499225998,1.00210762595633,90.2608134441524,0.0175635496361034,1,0.0175635496361034,0.982739604182575,-0.0112380385067326,0.013356929135421,-0.0110467155672591,0.0131295329809404,-0.0110467155672591,0.0131295329809404,4.96696945330127e-07,4.88123759452423e-07,6.06548483021889e-06,5.96079216122472e-06,0,0,2.94436683558746e-08,2.89354589857353e-08
1.53998,9.98129098727197,10.0537885174512,0.780012344491937,0.0966236653968823,0.000931163000112686,1.76579776231653e-05,0.000931363446739298,0.999781504795692,52.7332755750803,0,1,0,1,0.0307081229479387,0.0440505740327914,0.0307081229479387,0.0440505740327914,0.0307081229479387,0.0440505740327914,4.37788898031671e-06,4.37788898031671e-06,5.15632491280266e-05,5.15632491280266e-05,0,0,-3.05248669971257e-09,-3.05248669971257e-09
1.55998,9.98448024542734,10.0418899427576,0.940678401189727,0.0244142017124824,0.000936597356147923,1.08163066611118e-05,0.000931438443279446,1.00561962081154,86.5912353886999,0.0468301734294777,1,0.0468301734294777,0.955264784472099,0.00333126451675092,-0.0124283755887706,0.00318925815536808,-0.0118985746935554,0.00318925815536808,-0.0118985746935554,1.62201526551229e-06,1.54945406302005e-06,1.95230242236826e-05,1.86496575272798e-05,0,0,7.85086411293594e-08,7.49965401476349e-08
1.57998,9.94024848246848,10.0411515466429,0.822247557518403,0.0776415471827405,0.000926443437305435,1.1223499343935e-05,0.000931363518189835,0.994637320361564,82.5449718396195,0,1,0,1,-0.0442317629588587,-0.000738396114746465,-0.0442317629588587,-0.000738396114746465,-0.0442317629588587,-0.000738396114746465,2.36616805333736e-06,2.36616805333736e-06,2.95675045717718e-05,2.95675045717718e-05,0,0,-7.49250896101396e-08,-7.49250896101396e-08
1.59998,9.91580512836193,10.0777923959172,0.832370831039281,0.07309176133066,0.000923271110032334,1.18622914133645e-05,0.000931242132067473,0.991311224887303,77.8324421346502,0,1,0,1,-0.0244433541065519,0.0366408492743187,-0.0244433541065519,0.0366408492743187,-0.0244433541065519,0.0366408492743187,1.63648276160785e-06,1.63648276160785e-06,1.96216875254399e-05,1.96216875254399e-05,0,0,-1.21386122362553e-07,-1.21386122362553e-07
1.61998,9.8887042263853,10.09537532357,0.875446322514353,0.0537319898811896,0.000931894913317526,6.87610441063743e-06,0.000931251866920157,1.0007009790766,135.526579824149,0.00584149230503094,1,0.00584149230503094,0.994192432555507,-0.0272598576894119,0.0176860573260598,-0.0271009019766328,0.0175829276528088,-0.0271009019766328,0.0175829276528088,1.17432108590445e-07,1.16750113699657e-07,1.65684974279385e-06,1.64722747616718e-06,0,0,9.79171875081352e-09,9.73485268377067e-09
1.63998,9.89870276561267,10.0658644648121,0.880175674150421,0.0516064385840803,0.000927975540533339,1.14078165679982e-05,0.000931202722024354,0.996481804221372,81.3455874736345,0,1,0,1,0.00999853922736982,-0.0295108587578703,0.00999853922736982,-0.0295108587578703,0.00999853922736982,-0.0295108587578703,3.32188269021739e-08,3.32188269021739e-08,4.16244145233709e-07,4.16244145233709e-07,0,0,-4.91448958022918e-08,-4.91448958022918e-08
1.65998,9.90312978648892,10.0243962955798,0.846353009060573,0.0668076363772706,0.000925917308497974,1.73064488897314e-05,0.000931123440821459,0.994324100003583,53.5012881259238,0,1,0,1,0.00442702087625513,-0.0414681692322745,0.00442702087625513,-0.0414681692322745,0.00442702087625513,-0.0414681692322745,9.45290999960335e-07,9.45290999960335e-07,1.20802131956346e-05,1.20802131956346e-05,0,0,-7.92812028956556e-08,-7.92812028956556e-08
1.67998,9.89201088889693,10.0337513581247,0.939782212864121,0.0248169829824175,0.000931338991443728,1.20521349176076e-05,0.000931126667855435,1.00023149521599,77.2758517717826,0.00192912679992848,1,0.00192912679992848,0.998074587564801,-0.0111390435174048,0.00937201264294174,-0.0111188975919934,0.00935506254489482,-0.0111188975919934,0.00935506254489482,1.80359956722014e-06,1.80012689418529e-06,2.17629005366557e-05,2.17209979773364e-05,0,0,3.2332593339875e-09,3.22703397625962e-09
